а, 970, 0.86105883%
а-а, 1, 8.876896E-4%
га-а-а, 1, 8.876896E-4%
да-а, 1, 8.876896E-4%
ба, 5, 0.0044384478%
неба, 9, 0.007989206%
полнеба, 1, 8.876896E-4%
погреба, 1, 8.876896E-4%
служба, 2, 0.0017753792%
лба, 1, 8.876896E-4%
столба, 5, 0.0044384478%
оба, 32, 0.028406067%
боба, 7, 0.0062138266%
злоба, 2, 0.0017753792%
гроба, 5, 0.0044384478%
ущерба, 1, 8.876896E-4%
цекуба, 1, 8.876896E-4%
труба, 2, 0.0017753792%
глыба, 2, 0.0017753792%
рыба, 1, 8.876896E-4%
судьба, 7, 0.0062138266%
стрельба, 3, 0.0026630685%
мольба, 1, 8.876896E-4%
ва, 1, 8.876896E-4%
лава, 1, 8.876896E-4%
глава, 34, 0.030181443%
слава, 4, 0.0035507584%
мстислава, 2, 0.0017753792%
права, 2, 0.0017753792%
справа, 1, 8.876896E-4%
октава, 1, 8.876896E-4%
состава, 1, 8.876896E-4%
савва, 2, 0.0017753792%
два, 53, 0.047047544%
г-два, 1, 8.876896E-4%
раз-два, 1, 8.876896E-4%
едва, 14, 0.012427653%
панаева, 1, 8.876896E-4%
дева, 1, 8.876896E-4%
лиходеева, 15, 0.013315343%
королева, 40, 0.035507582%
слева, 2, 0.0017753792%
гнева, 1, 8.876896E-4%
пролежнева, 1, 8.876896E-4%
рева, 1, 8.876896E-4%
дерева, 1, 8.876896E-4%
китайцева, 1, 8.876896E-4%
иностранцева, 1, 8.876896E-4%
коровьева, 26, 0.023079926%
язва, 1, 8.876896E-4%
счастлива, 7, 0.0062138266%
понятлива, 1, 8.876896E-4%
пива, 2, 0.0017753792%
грива, 1, 8.876896E-4%
красива, 1, 8.876896E-4%
настойчива, 1, 8.876896E-4%
москва, 2, 0.0017753792%
буква, 1, 8.876896E-4%
вдова, 3, 0.0026630685%
грибоедова, 17, 0.015090722%
иродова, 1, 8.876896E-4%
вызова, 2, 0.0017753792%
петракова, 4, 0.0035507584%
такова, 2, 0.0017753792%
лапшенникова, 3, 0.0026630685%
сокова, 1, 8.876896E-4%
драгомилова, 1, 8.876896E-4%
голова, 35, 0.031069133%
слова, 73, 0.064801335%
полуслова, 1, 8.876896E-4%
иванова, 3, 0.0026630685%
непременова, 1, 8.876896E-4%
соломонова, 1, 8.876896E-4%
воронова, 1, 8.876896E-4%
снова, 3, 0.0026630685%
карпова, 2, 0.0017753792%
дрова, 4, 0.0035507584%
борова, 4, 0.0035507584%
острова, 1, 8.876896E-4%
семплеярова, 2, 0.0017753792%
сова, 2, 0.0017753792%
куролесова, 1, 8.876896E-4%
саратова, 1, 8.876896E-4%
скуратова, 1, 8.876896E-4%
лермонтова, 1, 8.876896E-4%
готова, 2, 0.0017753792%
ростова, 1, 8.876896E-4%
хустова, 5, 0.0044384478%
сперва, 11, 0.009764585%
бритва, 1, 8.876896E-4%
жертва, 3, 0.0026630685%
мертва, 1, 8.876896E-4%
неудобства, 1, 8.876896E-4%
колдовства, 1, 8.876896E-4%
чувства, 1, 8.876896E-4%
наследства, 1, 8.876896E-4%
средства, 3, 0.0026630685%
паскудства, 1, 8.876896E-4%
