а, 970, 0.86105883%
а-а, 1, 8.876896E-4%
абабков, 2, 0.0017753792%
абадонна, 6, 0.005326137%
абадонне, 1, 8.876896E-4%
абадонну, 2, 0.0017753792%
абадонны, 2, 0.0017753792%
абажуром, 3, 0.0026630685%
абрау, 1, 8.876896E-4%
абрау-дюрсо, 1, 8.876896E-4%
абрикосовая, 2, 0.0017753792%
абрикосовой, 1, 8.876896E-4%
абрикосовую, 1, 8.876896E-4%
абсолютно, 1, 8.876896E-4%
абсолютного, 1, 8.876896E-4%
абсолютный, 1, 8.876896E-4%
августе, 1, 8.876896E-4%
авек, 1, 8.876896E-4%
аврилакского, 1, 8.876896E-4%
автобус, 1, 8.876896E-4%
автобуса, 1, 8.876896E-4%
автобусе, 1, 8.876896E-4%
автобусов, 1, 8.876896E-4%
автобусу, 1, 8.876896E-4%
автобусы, 2, 0.0017753792%
автодрог, 1, 8.876896E-4%
автоматический, 1, 8.876896E-4%
автомобили, 2, 0.0017753792%
автомобильный, 1, 8.876896E-4%
автор, 4, 0.0035507584%
автора, 2, 0.0017753792%
авторитет, 1, 8.876896E-4%
авторы, 1, 8.876896E-4%
ага, 10, 0.0088768955%
ад, 2, 0.0017753792%
адамовой, 1, 8.876896E-4%
адельфина, 1, 8.876896E-4%
администратор, 26, 0.023079926%
администратора, 15, 0.013315343%
администраторов, 1, 8.876896E-4%
администратором, 1, 8.876896E-4%
администратору, 5, 0.0044384478%
администрации, 3, 0.0026630685%
администрация, 2, 0.0017753792%
адрес, 3, 0.0026630685%
адресу, 3, 0.0026630685%
адские, 2, 0.0017753792%
адскими, 1, 8.876896E-4%
адское, 1, 8.876896E-4%
адской, 3, 0.0026630685%
адском, 1, 8.876896E-4%
адскую, 2, 0.0017753792%
аду, 1, 8.876896E-4%
азазелло, 152, 0.13492881%
азартом, 1, 8.876896E-4%
ай, 9, 0.007989206%
ай-даниля, 1, 8.876896E-4%
ай-яй-яй, 3, 0.0026630685%
акации, 1, 8.876896E-4%
акаций, 1, 8.876896E-4%
аккомпанемент, 1, 8.876896E-4%
аккомпанировал, 1, 8.876896E-4%
аккомпанируя, 1, 8.876896E-4%
аккуратно, 6, 0.005326137%
аккуратный, 2, 0.0017753792%
аккуратным, 1, 8.876896E-4%
актер, 2, 0.0017753792%
актрисой, 1, 8.876896E-4%
акустики, 1, 8.876896E-4%
акустикой, 1, 8.876896E-4%
акустической, 5, 0.0044384478%
акцент, 1, 8.876896E-4%
акцента, 3, 0.0026630685%
акцентом, 3, 0.0026630685%
ала, 8, 0.0071015167%
алая, 1, 8.876896E-4%
алебардами, 1, 8.876896E-4%
александр, 1, 8.876896E-4%
александра, 1, 8.876896E-4%
александрийского, 1, 8.876896E-4%
александрович, 11, 0.009764585%
александровича, 8, 0.0071015167%
александровиче, 1, 8.876896E-4%
александровичем, 2, 0.0017753792%
александровичу, 2, 0.0017753792%
александровна, 1, 8.876896E-4%
александровского, 1, 8.876896E-4%
александровском, 4, 0.0035507584%
алиментов, 1, 8.876896E-4%
алкоголизм, 1, 8.876896E-4%
аллее, 4, 0.0035507584%
аллеи, 1, 8.876896E-4%
аллея, 1, 8.876896E-4%
