и, 94, 3.788795%
я, 68, 2.7408304%
не, 54, 2.1765416%
в, 50, 2.0153165%
на, 48, 1.9347038%
что, 40, 1.6122531%
с, 32, 1.2898026%
его, 28, 1.1285771%
он, 27, 1.0882708%
меня, 22, 0.88673925%
мне, 21, 0.8464329%
а, 19, 0.7658202%
за, 16, 0.6449013%
савельич, 16, 0.6449013%
было, 15, 0.60459495%
да, 15, 0.60459495%
ему, 15, 0.60459495%
к, 15, 0.60459495%
сказал, 15, 0.60459495%
то, 15, 0.60459495%
ты, 14, 0.56428856%
это, 13, 0.5239822%
как, 12, 0.48367596%
по, 12, 0.48367596%
все, 11, 0.44336963%
ямщик, 11, 0.44336963%
был, 10, 0.40306327%
из, 10, 0.40306327%
ли, 10, 0.40306327%
о, 10, 0.40306327%
отвечал, 10, 0.40306327%
у, 10, 0.40306327%
еще, 9, 0.36275694%
но, 9, 0.36275694%
стал, 9, 0.36275694%
мой, 8, 0.32245064%
так, 8, 0.32245064%
бы, 7, 0.28214428%
ваше, 7, 0.28214428%
лошади, 7, 0.28214428%
мог, 7, 0.28214428%
ну, 7, 0.28214428%
себя, 7, 0.28214428%
тулуп, 7, 0.28214428%
хозяин, 7, 0.28214428%
ветер, 6, 0.24183798%
вижу, 6, 0.24183798%
же, 6, 0.24183798%
или, 6, 0.24183798%
моего, 6, 0.24183798%
от, 6, 0.24183798%
увидел, 6, 0.24183798%
батюшка, 5, 0.20153163%
благородие, 5, 0.20153163%
буран, 5, 0.20153163%
вдруг, 5, 0.20153163%
где, 5, 0.20153163%
глаза, 5, 0.20153163%
делать, 5, 0.20153163%
до, 5, 0.20153163%
ехать, 5, 0.20153163%
кибитки, 5, 0.20153163%
мужик, 5, 0.20153163%
савельича, 5, 0.20153163%
сторону, 5, 0.20153163%
тебя, 5, 0.20153163%
будет, 4, 0.16122532%
были, 4, 0.16122532%
двор, 4, 0.16122532%
деле, 4, 0.16122532%
дело, 4, 0.16122532%
дорожный, 4, 0.16122532%
заячий, 4, 0.16122532%
казался, 4, 0.16122532%
куда, 4, 0.16122532%
него, 4, 0.16122532%
нет, 4, 0.16122532%
нечего, 4, 0.16122532%
облачко, 4, 0.16122532%
очень, 4, 0.16122532%
при, 4, 0.16122532%
скоро, 4, 0.16122532%
снег, 4, 0.16122532%
спросил, 4, 0.16122532%
степи, 4, 0.16122532%
андрей, 3, 0.12091899%
барин, 3, 0.12091899%
беда, 3, 0.12091899%
бродяга, 3, 0.12091899%
будешь, 3, 0.12091899%
велел, 3, 0.12091899%
видишь, 3, 0.12091899%
видом, 3, 0.12091899%
виноват, 3, 0.12091899%
водку, 3, 0.12091899%
вожатый, 3, 0.12091899%
воротился, 3, 0.12091899%
гм, 3, 0.12091899%
говоря, 3, 0.12091899%
давать, 3, 0.12091899%
довольно, 3, 0.12091899%
дороги, 3, 0.12091899%
